Id_Unico,Equipo,Marca,Modelo,Servicio,Ubicacion,Nueva_Ubicacion,Fuentes,Serial
18462959,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,BLOQUE QUIRÚRGICO,Sala 1,,INV_2025,18462959
21397954,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,BLOQUE QUIRÚRGICO,Sala 2,,"INV_2025, BOMBAS_2026",21397954
21397881,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,BLOQUE QUIRÚRGICO,Sala 3,,"INV_2025, BOMBAS_2026",21397881
21397597,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,BLOQUE QUIRÚRGICO,Sala 4,,"INV_2025, BOMBAS_2026",21397597
21397404,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS 5° PISO,,,"INV_2025, BOMBAS_2026",21397404
21397366,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,BLOQUE QUIRÚRGICO,Sala 5,,INV_2025,21397366
21397113,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,BLOQUE QUIRÚRGICO,Sala 6,,INV_2025,21397113
17950808,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum A+ Wireless ,BLOQUE QUIRÚRGICO,Sala 7,,INV_2025,17950808
17950747,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum A+ Wireless ,BLOQUE QUIRÚRGICO,Sala 8,,"INV_2025, BOMBAS_2026",17950747
17950641,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum A+ Wireless ,BLOQUE QUIRÚRGICO,Recuperacion ,,"INV_2025, BOMBAS_2026",17950641
21397408,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,CARDIOLOGÍA,,,"INV_2025, BOMBAS_2026",21397408
18448737,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,,,INV_2025,18448737
21398079,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,,,"INV_2025, BOMBAS_2026",21398079
21390071,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,H.EXPANSION ADULTOS 3 PISO,,INV_2025,21390071
21398062,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,H.EXPANSION ADULTOS 3 PISO,,"INV_2025, BOMBAS_2026",21398062
21397982,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,,,"INV_2025, BOMBAS_2026",21397982
21397416,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,,,"INV_2025, BOMBAS_2026",21397416
21396534,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,,,"INV_2025, BOMBAS_2026",21396534
75243722,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,,,INV_2025,75243722
41406725,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 ,HOSPITALIZACIÓN GINECO-OBSTETRICIA,,,"INV_2025, BOMBAS_2026",41406725
41406736,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum 360 ,HOSPITALIZACIÓN GINECO-OBSTETRICIA,,,"INV_2025, BOMBAS_2026",41406736
