No. REPORTE;FECHA CREACIÓN DE SOLICITUD;EQUIPO;MARCA;MODELO;SERIE;ACTIVO FIJO ;SERVICIO;UBICACIÓN;DESCRIPCIÓN DE DAÑO;ACCIÓN REALIZADA;EJECUTADO POR;FECHA DE ATENCIÓN A LA SOLICITUD;ESTADO EN GMA SOPORTE;ESTADO DEL EQUIPO;OPORTUNIDAD;FECHA DE CIERRE A LA SOLICITUD;TIEMPO DE CIERRE A LA SOLICITUD;PARADA DEL EQUIPO;TIPO DE PARADA ;TIEMPO DE PARADA DEL EQUIPO;PARADA DEL SERVICIO;EQUIPO DE CONTINGENCIA;TIEMPO DE PARA DEL SERVICIO;CAUSA;ACCESORIO NUEVO?;OBSERVACIONES;COMENTARIOS ADICIONALES;ESTADO;Tiempo de Oportunidad (horas);Tiempo de Parada(dias);Capacidad_Respuesta (<3_DIA)
25655;1/3/2026;DOPPLER FETAL;N/A;N/A;N/A;N/A;HOSPITALIZACIÓN GINECO-OBSTETRICIA;Sala de Partos;se solicita revisar doppler fetal de sala de partos, no carga, gracias;Se realiza revisión del equipo y se encuentra en buenas condiciones funcionales, se verifica estado del cargador y de las baterías y se hacen pruebas funcionales, se retorna al servicio en buenas condiciones. ;Victor Lopez;1/3/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;1/3/2026;0:00:00;NO ;N/A;0;NO;N/A;0;DESAJUSTE;NO;;;CERRADO;0:00:00;0;VERDADERO
25659;1/3/2026;BOMBA DE INFUSIÓN;N/A;N/A;N/A;N/A;HOSPITALIZACIÓN PEDIATRÍA;;se solicita revision de bomba de infusion ubicada en el cuarto de equipos de expansion pediatria ,gracias;Se revisa equipo y se encuentra en buenas condiciones funcionales, se realiza pruebas con test y se verifican configuraciones y alarmas. ;Victor Lopez;1/3/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;1/3/2026;0:00:00;NO ;N/A;0;NO;N/A;0;NO PRESENTA DAÑO;NO;;;CERRADO;0:00:00;0;VERDADERO
25660;1/3/2026;CAMA ELÉCTRICA;Stryker;SV2 ;1,5731E+13;571768;HOSPITALIZACIÓN ADULTO 5° PISO;;buenas tardes. se solicita por favor revisar cama que se encuentra en el pasillo del quinto piso ya que no funciona el boton para bajar la parte inferior (pies).;Se revisa cama y se encuentra en buenas condiciones funcionales, tenía bloqueo mecánico de los pies, se hacen recomendaciones de uso al personal asistencial. Equipo Ok.;Victor Lopez;02/03/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;02/03/2026;0:00:00;NO ;N/A;0;NO;N/A;0;DESCONOCIMIENTO DEL EQUIPO;NO;;;CERRADO;24:00:00;1;VERDADERO
25661;1/3/2026;FLUJÓMETRO;N/A;N/A;N/A;N/A;HOSPITALIZACIÓN PEDIATRÍA;;buena tarde. se solicita revicion de flujometro que se encuentra en el cuarto de equipos. gracias;Se revisa equipo y se encuentra en buenas condiciones funcionales, se verifica que no haya fugas. Equipo Ok. ;Victor Lopez;1/3/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;1/3/2026;0:00:00;NO ;N/A;0;NO;N/A;0;NO PRESENTA DAÑO;NO;;;CERRADO;0:00:00;0;VERDADERO
25663;1/3/2026;MONITOR DE SIGNOS VITALES ;N/A;N/A;N/A;N/A;HOSPITALIZACIÓN ADULTO 5° PISO;;se solicita por favor revisar pulxovimetro de asignacion 2-3 de quinto piso gracias;Solicitud repetida, repuestos solicitados;Victor Lopez;1/3/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;1/3/2026;0:00:00;NO ;N/A;0;NO;N;0;FALTA DE CONSUMIBLE;NO;;;CERRADO;0:00:00;0;VERDADERO
25676;2/3/2026;MONITOR DE SIGNOS VITALES ;Edan;M50;333123-M13707020019-01;545370;HOSPITALIZACIÓN ADULTO 4° PISO;;buenos dias, se solicita el favor de arreglo o cambio te tensiometro de la estacion 3 de medicina interna.;Solicitud repetida, repuestos solicitados;Victor Lopez;2/3/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;1/3/2026;11:53:12;NO ;N/A;0;NO;N;0;FALTA DE CONSUMIBLE;NO;;;CERRADO;0:00:00;-1;VERDADERO
25677;2/3/2026;MONITOR DE SIGNOS VITALES ;Edan;M50;333123-M13707020019-01;545370;HOSPITALIZACIÓN ADULTO 4° PISO;;buenos dias, se solicita el favor de arreglo o cambio te saturador de la estacion 3 de medicina interna.;Se revisa monitor y se encuentra daño en sensor de SPO2, no permite reparación, requiere cambio, se inicia proceso de adquisición del repuesto. ;Victor Lopez;02/03/2026;? TRABAJANDO;?? EN ESPERA DE REPUESTO;0:00:00;02/03/2026;0:00:00;NO ;N/A;0;NO;N/A;0;FALTA DE CONSUMIBLE;NO;;;PENDIENTE;0:00:00;1;VERDADERO
25680;2/3/2026;VENTILADOR MECÁNICO ;N/A;N/A;N/A;N/A;CUIDADO INTENSIVO NEONATAL;;tapa protectora de la valvula exhalatoria del ventilador #3 reventada;Se revisa válvula y se encuentra daño en tapa, se procede a realizar el cambio de la tapa y se hacen pruebas funcionales.;Victor Lopez;2/3/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;2/3/2026;0:00:00;NO ;N/A;0;NO;N/A;0;DESGASTE;NO;;;CERRADO;0:00:00;1;VERDADERO
25688;2/3/2026;REGULADOR DE OXÍGENO;N/A;N/A;N/A;N/A;QUIRÓFANO;;buenos dias por fvaor revisar aire de pared sala 3 gracias;Se revisa equipo y se encuentra desajuste en manguera y conector de aire, se procede a realizar el ajuste correspondiente y se hacen pruebas funcionales. ;Camilo Ramirez;02/03/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;02/03/2026;0:00:00;NO ;N/A;0;NO;N/A;0;DESAJUSTE;NO;;;CERRADO;0:00:00;1;VERDADERO
25702;2/3/2026;DESFIBRILADOR ;Nihon Kohden;TEC-5631;01738;574600;CUIDADO INTENSIVO PEDIÁTRICO;;buena tarde se solicita  favor de revisar desfibrilador de la uci pediatrica ya que se estaba usando en codigo y empezo a sonar por bateria a los pocos minutos de desconectarlo;Se revisa equipo y se haecen pruebas funcionales, el equipo funciona normalmente pero requiere cambio de baterías por cumplimiento de tiempo de vida útil, se inicia proceso de adquisición de repuesto. ;Victor Lopez;02/03/2026;? TRABAJANDO;?? EN ESPERA DE REPUESTO;0:00:00;02/03/2026;0:00:00;NO ;N/A;0;NO;N/A;0;DESGASTE;NO;;;PENDIENTE;0:00:00;1;VERDADERO
