Id_Unico,Equipo,Marca,Modelo,Servicio,Ubicacion,Nueva_Ubicacion,Fuentes,Serial
506285,BOMBA DE INFUSIÓN,ICU MEDICAL,NO DEFINIDO,LABORATORIO CLÍNICO,Hematología,,['2025_INV'],32977
506359,BOMBA DE INFUSIÓN,ICU MEDICAL,BTR-87,LABORATORIO CLÍNICO,Quimica Sanguinea ,,['2025_INV'],816
506351,BOMBA DE INFUSIÓN,ICU MEDICAL,MISTROL,LABORATORIO CLÍNICO,Microbiología,,['2025_INV'],747
546342,BOMBA DE INFUSIÓN,ICU MEDICAL,PF48I,BANCO DE SANGRE,Plaquetas ,,['2025_INV'],BIO150095 1017244
504794,BOMBA DE INFUSIÓN,ICU MEDICAL,IMPULSE 3000,TALLER BIOMÉDICO,,,['2025_INV'],003621
850,BOMBA DE INFUSIÓN,ICU MEDICAL,GEM PREMIER 5000,LABORATORIO CLÍNICO,Restriccion electrica ,,['2025_INV'],18071995
825,BOMBA DE INFUSIÓN,ICU MEDICAL,GEM PREMIER 3500,CUIDADO INTENSIVO ADULTO,,,['2025_INV'],18019206
18019207,BOMBA DE INFUSIÓN,ICU MEDICAL,GEM PREMIER 3500,CUIDADO INTENSIVO ADULTO,Estacion De Enfermeria ,,['2025_INV'],18019207
851,BOMBA DE INFUSIÓN,ICU MEDICAL,GEM PREMIER 5000,CUIDADO INTENSIVO ADULTO,Estacion De Enfermeria ,,['2025_INV'],18082012
18019205,BOMBA DE INFUSIÓN,ICU MEDICAL,GEM PREMIER 3500,LABORATORIO CLÍNICO,,,['2025_INV'],18019205
849,BOMBA DE INFUSIÓN,ICU MEDICAL,GEM PREMIER 5000,LABORATORIO CLÍNICO,Hematología,,['2025_INV'],17070908
47237,BOMBA DE INFUSIÓN,ICU MEDICAL,XN-10,LABORATORIO CLÍNICO,Hematología,,['2025_INV'],47237
21583,BOMBA DE INFUSIÓN,ICU MEDICAL,XN 1000,LABORATORIO CLÍNICO,Hematología,,['2025_INV'],21583
25055688,BOMBA DE INFUSIÓN,ICU MEDICAL,ACL ELITE PRO ,LABORATORIO CLÍNICO,Hematología,,['2025_INV'],25055688
506253,BOMBA DE INFUSIÓN,ICU MEDICAL,SIN IDENTIFICAR,LABORATORIO CLÍNICO,Deposito de reactivos ,,"['2025_INV', '2025_INV', '2025_INV', '2025_INV', '2025_INV', '2025_INV', '2025_INV', '2025_INV', '2025_INV', '2025_INV', '2025_INV', '2025_INV']",SIN IDENTIFICAR
504804,BOMBA DE INFUSIÓN,ICU MEDICAL,DPM 2 PLUS,TALLER BIOMÉDICO,,,['2025_INV'],126911
907,BOMBA DE INFUSIÓN,ICU MEDICAL,UF5000,LABORATORIO CLÍNICO,Uroanalisis ,,['2025_INV'],13504
AI04488,BOMBA DE INFUSIÓN,ICU MEDICAL,ALINITY-I,BANCO DE SANGRE,Infecciones ,,['2025_INV'],AI04488
893,BOMBA DE INFUSIÓN,ICU MEDICAL,UC3500,LABORATORIO CLÍNICO,Uroanalisis ,,['2025_INV'],14651
504796,BOMBA DE INFUSIÓN,ICU MEDICAL,234A,TALLER BIOMÉDICO,,,['2025_INV'],1206
546061,BOMBA DE INFUSIÓN,ICU MEDICAL,GENEXPERT IV-4,LABORATORIO CLÍNICO,Tuberculosis ,,['2025_INV'],801389
546079,BOMBA DE INFUSIÓN,ICU MEDICAL,300-G,BLOQUE QUIRÚRGICO,Estacion De Enfermeria ,,['2025_INV'],368932
IVD7001128-730961,BOMBA DE INFUSIÓN,ICU MEDICAL,VIDAS 30,LABORATORIO CLÍNICO,Quimica Sanguinea ,,['2025_INV'],IVD7001128-730961
573138,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,CONSULTA EXTERNA,Cardiología,,['2025_INV'],00086
573143,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,ALMACÉN,,,['2025_INV'],00085
573144,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,ALMACÉN,,,['2025_INV'],00083
573147,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,ALMACÉN,,,['2025_INV'],00090
549149,BOMBA DE INFUSIÓN,ICU MEDICAL,SXT-5A,HOSPITALIZACIÓN GINECO-OBSTETRICIA,Sala de Partos,,['2025_INV'],L18.17.124
573148,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,ALMACÉN,,,['2025_INV'],00146
No definido,BOMBA DE INFUSIÓN,ICU MEDICAL,NO DEFINIDO,BLOQUE QUIRÚRGICO,,,['2025_INV'],FMA018969IM
573150,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,HOSPITALIZACIÓN ADULTOS 4° PISO,Hospitalización Adultos 4° piso,,['2025_INV'],00088
573151,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,ALMACÉN,,,['2025_INV'],00120
573152,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,ALMACÉN,,,['2025_INV'],00128
573153,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,ALMACÉN,,,['2025_INV'],00043
573154,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,ALMACÉN,,,"['2025_INV', '2025_INV']",00098
573155,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,ALMACÉN,CARRO DE PARO UCIN ADULT,,['2025_INV'],00137
573156,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,ALMACÉN,CARRO DE PARO UCI ADULT ESTACION 2,,['2025_INV'],00138
573157,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,ALMACÉN,,,['2025_INV'],00116
573158,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,ALMACÉN,,,['2025_INV'],00066
573159,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,ALMACÉN,,,['2025_INV'],00039
573160,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,HOSPITALIZACIÓN ADULTOS 5° PISO,Carro De Paro,,['2025_INV'],00040
573161,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,ALMACÉN,,,['2025_INV'],00125
573162,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,ALMACÉN,,,['2025_INV'],00126
573164,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,ALMACÉN,,,['2025_INV'],00041
573165,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,ALMACÉN,,,['2025_INV'],00103
545116,BOMBA DE INFUSIÓN,ICU MEDICAL,1630GL,INVENTARIOS,Bodega Inventarios,,['2025_INV'],011300008306
573149,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,GASTROENTEROLOGÍA,,,['2025_INV'],00087
541418,BOMBA DE INFUSIÓN,ICU MEDICAL,402,HEMODIÁLISIS,Bodega De La 23,,['2025_INV'],N9411
573145,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,HEMODIÁLISIS,Carro De Paro,,['2025_INV'],00024
549150,BOMBA DE INFUSIÓN,ICU MEDICAL,DHCL,HOSPITALIZACIÓN QUIRÚRGICAS,CUARTO DE EQUIPOS 3ER PISO,,['2025_INV'],045C-01554
573137,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,HOSPITALIZACIÓN PEDIATRÍA,,,['2025_INV'],00054
545117,BOMBA DE INFUSIÓN,ICU MEDICAL,1630GL,HOSPITALIZACIÓN ADULTOS 4° PISO,,,['2025_INV'],11300008305
573133,BOMBA DE INFUSIÓN,ICU MEDICAL,7E-A,HOSPITALIZACIÓN ADULTOS 4° PISO,,,['2025_INV'],00134
