Serial,Id_Unico,Equipo,Marca,Modelo,Servicio,Nueva_Ubicacion,Fuentes
17948543,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,UCI PEDIÁTRICA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17949339,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,,HOSPITALIZACIÓN ADULTOS PISO 4,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17949437,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17949608,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,,HOSPITALIZACIÓN ADULTOS PISO 4,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17949639,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,,HOSPITALIZACIÓN ADULTOS PISO 4,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17949695,17949695.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,HOSPITALIZACIÓN GINECO-OBSTETRICIA,UCI PEDIÁTRICA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
17950382,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless ,,HOSPITALIZACIÓN ADULTOS PISO 4,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17950478,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,,HOSPITALIZACIÓN ADULTOS PISO 4,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST"
17950509,17950509.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,HOSPITALIZACIÓN ADULTOS 5° PISO,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
17950555,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,,UCI PEDIATRICA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17950641,17950641.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,BLOQUE QUIRÚRGICO,UCI PEDIATRICA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
17950690,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,,UCI PEDIATRICA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17950738,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17950741,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST"
17950747,17950747.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,BLOQUE QUIRÚRGICO,HOSPITALIZACIÓN CIRUGÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
17950752,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17950762,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17950799,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,,UCI PEDIATRICA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17950808,17950808.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,BLOQUE QUIRÚRGICO,,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST, INV_2025"
17950850,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,,HOSPITALIZACIÓN ADULTOS PISO 5,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17950898,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17950900,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless ,,HOSPITALIZACIÓN ADULTOS PISO 4,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
